Cod natureza;centro de custo 1;centro de custo 2;centro de custo 3;centro de custo 4
10101001;8001;;;
10101004;7004;;;
10101005;4001;;;
10102001;8001;;;
10102004;4001;;;
10102005;8001;;;
10102006;4001;;;
10102007;4001;;;
10201001;14001;;;
10201002;14001;;;
10202001;4001;;;
10202002;4001;;;
10202003;4001;;;
10202004;4001;;;
10202005;4001;;;
10202006;4001;;;
10202007;4001;;;
10203001;4001;;;
10203002;4001;;;
10203003;4001;;;
10203004;4001;;;
10203005;4001;;;
10203006;4001;;;
10204001;2002;;;
10204002;2002;;;
10204003;2002;;;
10204004;2002;;;
10204005;2002;;;
10204006;16001;16002;16003;16005
10204007;2002;;;
10204008;2002;3001;;
10204009;2002;;;
10204010;2002;;;
10204011;2002;;;
10204012;1004;2002;;
10204013;2002;;;
20102002;2002;;;
20102004;2002;;;
20102005;2002;;;
20102006;2002;;;
20102008;2002;;;
20102011;2002;;;
20102015;2002;;;
20102017;2002;;;
20102018;2002;;;
20102019;2002;;;
20102022;2002;;;
20102023;2002;;;
20102024;2002;;;
20102026;2002;;;
20102029;2002;;;
20102031;2002;;;
20102034;2002;;;
20102036;2002;;;
20102038;2002;;;
20102039;2002;;;
20102040;2002;;;
20102041;2002;;;
2010204901;2002;;;
2010204902;2002;;;
2010204905;2002;;;
2010204906;2002;;;
2010204908;2002;;;
2010204909;2002;;;
2010204910;2002;;;
2010204911;2002;;;
2010204912;2002;;;
2010204913;2002;;;
2010204914;2002;;;
2010204917;2002;;;
2010204918;2002;;;
2010204919;2002;;;
2010204920;2002;;;
2010204921;2002;;;
2010204922;2002;;;
2010204923;2002;;;
2010204924;2002;;;
2010204925;2002;;;
2010204926;2002;;;
2010204929;2002;;;
2010204930;2002;;;
2010204931;2002;;;
2010204932;2002;;;
2010204933;2002;;;
2010204934;2002;;;
2010204935;2002;;;
2010204936;2002;;;
2010204937;2002;;;
2010204938;2002;;;
2010204939;6012;;;
2010204940;2001;;;
2010204941;2001;;;
2010204942;2002;;;
2010204943;2002;;;
2010204944;2001;;;
2010204945;2002;;;
2010204946;2002;;;
2010204947;2002;;;
2010204948;2002;;;
2010204949;2001;;;
2010204950;6012;;;
20102051;2002;;;
20102052;2002;;;
20102053;2002;;;
20102054;16004;;;
20102055;6012;;;
20102056;2002;11001;;
20102057;2001;;;
20102058;2002;;;
20202001;8002;;;
20202002;8002;;;
20202003;8002;;;
20202005;8002;;;
20202006;8002;;;
20202007;8002;;;
20202008;8002;;;
20202009;8002;;;
20203001;8002;;;
20203002;8002;;;
20203003;8002;;;
20203004;8002;;;
20203005;8002;;;
20203006;8002;;;
20203009;8002;;;
20203010;8002;;;
20203012;8002;;;
20203013;8002;;;
20203014;8002;;;
20203015;8002;;;
20203016;8002;;;
20203017;8002;;;
20203018;8002;;;
20203019;8002;;;
20203020;8002;;;
20203021;8002;;;
20203022;8002;;;
20203023;8002;;;
20203024;8002;;;
20203025;8002;;;
20203026;8002;;;
20203027;8002;;;
20204001;8002;;;
20204002;8002;;;
20301001;6001;6003;;
20301004;6001;6003;6004;
20301005;6015;;;
20301006;6014;;;
20303005;6013;;;
20401001;15001;;;
20401002;6012;;;
20401005;15001;;;
20401006;15001;;;
20401010;15001;;;
20401011;15001;;;
20401012;15001;;;
20401013;15001;;;
20401014;15001;;;
20402001;15002;;;
20402002;15002;;;
20501001;4002;;;
20501002;4002;;;
20501003;4002;;;
20501004;4002;;;
20501005;4002;;;
20501010;14001;13002;;
20501011;14001;13002;;
20501012;4002;;;
20501013;4002;;;
20501014;4002;;;
20501015;4002;;;
20501016;4002;;;
20501017;4002;;;
20501018;4002;;;
20501019;4002;;;
20501020;4002;;;
20501021;4002;;;
20501022;4002;;;
20501023;4002;;;
20501024;13002;;;
20501025;4002;;;
20501026;4002;;;
20501027;4002;;;
20501028;4002;;;
20501029;4002;;;
20501030;4002;;;
20501031;4002;;;
20501032;4002;;;
20501033;4002;;;
20501034;4002;;;
20501035;4002;;;
20501036;4002;;;
20501037;4002;;;
20501038;4002;;;
20501039;4002;;;
20501040;4002;;;
20501041;4002;;;
20501042;4002;;;
20501043;4002;;;
20501044;4002;;;
20501045;4002;;;
20501046;4002;;;
20501047;4002;;;
20501049;4002;;;
20501050;4002;;;
20601001;11001;;;
20602001;11001;;;
20602003;11001;;;
20602006;11001;;;
20603001;11001;;;
20603003;11001;;;
20603004;11001;;;
20603005;11001;;;
20603007;11001;;;
20603008;11001;;;
20603010;11001;;;
20603011;11001;;;
20603012;11001;;;
20603013;11001;;;
20603015;11001;;;
20603016;11001;;;
20603017;11001;;;
20603019;11001;;;
20603020;11003;;;
20603021;11001;;;
20603022;2002;;;
20603023;2002;;;
20603024;11003;;;
20603025;11003;;;
20603027;11001;;;
20603028;11001;;;
20603029;11001;;;
20603031;11001;;;
20603100;11001;;;
20604002;11001;;;
20604003;11001;;;
20605001;11002;;;
20605003;11002;;;
20605004;11002;;;
20605005;11002;;;
20605006;11002;;;
20606001;11001;;;
20606002;11001;;;
20606003;11001;;;
20701001;7009;;;
20701002;7010;;;
20701003;7011;;;
20701004;7011;;;
20701005;7010;;;
20701006;7006;;;
20701007;7007;;;
20701008;7006;;;
20701009;7009;;;
20701010;7010;;;
20701011;7011;;;
20701012;7011;;;
20701013;7006;;;
20701014;7010;;;
20701015;7007;;;
20701016;7006;;;
20701017;7002;;;
20701018;7002;;;
20701019;7002;;;
20701020;7002;;;
20701021;7002;;;
20701022;7002;;;
20701023;7002;;;
20701024;7002;;;
20701025;7002;;;
20701026;7005;;;
20701027;7002;;;
20701028;7005;;;
20701029;7005;;;
20701030;7005;;;
20701031;7005;;;
20701032;7005;;;
20701033;7002;;;
20701034;7002;;;
20701035;7002;;;
20701036;7010;;;
20701037;7002;;;
20701038;7010;;;
20701039;7010;;;
20701040;7010;;;
20701041;7002;;;
20701042;7008;;;
20701043;7002;;;
20701044;7010;;;
20701100;7002;;;
20702001;7006;;;
20702002;7011;;;
20702003;7010;;;
20702004;7009;;;
20703001;7011;;;
20703002;7010;;;
20703003;7009;;;
20801001;12002;;;
20801002;12001;;;
20801003;12001;;;
20801004;12001;;;
20801005;12001;;;
20801006;12001;;;
20801007;12001;;;
20801008;12001;;;
20801009;12001;;;
20801010;12001;;;
20801011;12001;;;
20801012;12001;;;
20801013;12001;;;
20801014;12001;;;
20801015;12001;;;
20801016;12001;;;
20801017;12003;;;
20801018;12003;;;
20801100;12001;;;
20901001;16001;16002;16003;16005
20901002;16001;16002;16003;16005
20901003;16001;16002;16003;16005
20901004;16001;16002;16003;16005
20901005;16001;16002;16003;16005
20901006;16004;;;
20901007;16001;16002;16003;16005
21001001;17001;;;
21001002;2002;;;
21101001;3001;;;
21101002;3001;;;
21101003;3001;;;
21101004;3001;;;
21101005;3001;;;
21101006;3001;;;
21101007;3001;;;
21101008;3001;;;
21101009;3001;;;
21101010;3001;;;
21101011;3001;;;
21101012;3001;;;
21101014;3001;;;
21101016;3001;;;
21101017;3001;;;
21101018;3001;;;
21101019;3001;;;
21101021;3001;;;
21101022;3001;;;
21101024;3001;;;
21101025;3001;;;
21101026;3001;;;
21101028;3001;;;
21101029;3001;;;
21101033;3001;;;
21101034;3001;;;
21101036;13001;;;
21101037;3001;;;
21101038;3001;;;
21201001;17001;;;
21301001;1001;1002;1003;1004
21301002;1001;1002;1003;1004
21301003;1001;1002;1003;1004
21301005;1001;1002;1003;1004
